Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\UT_PCB\Project Outputs for UT_PCB\Pick Place\Pick Place for PCB_S.csv

========================================================================================================================
File Design Information:

Date:       17/03/25
Time:       22:03
Revision:   9e93b6ed72b4c6fc77130dc9136758a4fa8560a0
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C60","FS55X226K500EHG","TopLayer","CAPC5750X31N","98.0000mm","14.0000mm","0","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C59","FS55X226K500EHG","TopLayer","CAPC5750X31N","56.0000mm","66.0000mm","180","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C58","FS55X226K500EHG","TopLayer","CAPC5750X31N","148.5000mm","13.9750mm","0","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C57","FS55X226K500EHG","TopLayer","CAPC5750X31N","106.5000mm","66.0000mm","180","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C38","FS55X226K500EHG","TopLayer","CAPC5750X31N","47.0000mm","19.5000mm","180","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C39","FS55X226K500EHG","TopLayer","CAPC5750X31N","25.0000mm","32.5000mm","90","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C40","FS55X226K500EHG","TopLayer","CAPC5750X31N","7.0000mm","19.5000mm","0","50V 22uF X7R ±10% 2220  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS"
"C43","100nF 0603","TopLayer","CAPC1608X10N","21.6091mm","18.5518mm","270","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C45","100nF 0603","TopLayer","CAPC1608X10N","21.6091mm","22.1291mm","90","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"C46","100nF 0603","TopLayer","CAPC1608X10N","31.2464mm","20.2253mm","270","Ceramic Capacitor, Multilayer, Ceramic, 50V, 5% +Tol, 5% -Tol, X7R, 15% TC, 0.1uF, Surface Mount, 0603"
"J1","1711725","TopLayer","1711725-Footprint-1","15.0000mm","9.5000mm","180","Barrier Strip Terminal Block, 24A, 2.5mm2, 1 Row(s), 1 Deck(s)"
"J2","1711725","TopLayer","1711725-Footprint-1","39.0000mm","9.5000mm","180","Barrier Strip Terminal Block, 24A, 2.5mm2, 1 Row(s), 1 Deck(s)"
"Q14","MOSFET P-channel","TopLayer","DPAK200P800X170-5N","36.0000mm","30.9250mm","90","Power MOSFET, P Channel, 40 V, 390 A, 0.0014 ohm, PowerPAK, Surface Mount"
"Q17","MOSFET P-channel","TopLayer","DPAK200P800X170-5N","14.0000mm","30.9250mm","90","Power MOSFET, P Channel, 40 V, 390 A, 0.0014 ohm, PowerPAK, Surface Mount"
"Q18","IPT007N06NATMA1","TopLayer","INF-PG-HSOF-8-1_V","14.4200mm","56.6243mm","270","Power Field-Effect Transistor, 52A I(D), 60V, 0.00075ohm, 1-Element, N-Channel, Silicon, Metal-oxide Semiconductor FET"
"R17","0603WAF1804T5E","TopLayer","RESC1608X06N","26.2940mm","40.1290mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 1800000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R18","100k 0603","TopLayer","RESC1608X06N","28.7070mm","39.3790mm","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 100k? 0603 Chip Resistor - Surface Mount ROHS"
"R19","100k 0603","TopLayer","RESC1608X06N","20.7060mm","39.3790mm","90","100mW Thick Film Resistors 75V ±100ppm/? ±1% 100k? 0603 Chip Resistor - Surface Mount ROHS"
"R22","ARG03FTC4001N","TopLayer","RESC1608X06N","25.3302mm","15.2610mm","180","Thin Film Resistor ±1% 4k? 0603  Chip Resistor - Surface Mount ROHS"
"R21","0603WAF1804T5E","TopLayer","RESC1608X06N","23.1190mm","40.1290mm","180","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 1800000ohm, 50V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R25","RC0603FR-0716KL","TopLayer","RESC1608X06N","26.0922mm","12.5940mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 16000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"R27","ARG03FTC4001N","TopLayer","RESC1608X06N","28.6322mm","15.2610mm","180","Thin Film Resistor ±1% 4k? 0603  Chip Resistor - Surface Mount ROHS"
"R28","RC0603FR-0716KL","TopLayer","RESC1608X06N","29.5212mm","12.5940mm","90","Fixed Resistor, Metal Glaze/thick Film, 0.1W, 16000ohm, 75V, 1% +/-Tol, 100ppm/Cel, Surface Mount, 0603"
"U5","LTC4226IMS-2#TRPBF","TopLayer","FP-MS-16-05-08-1669-IPC_B","24.9146mm","44.1930mm","180","Power Supply Support Circuit, Adjustable, 2 Channel, CMOS, PDSO16"
"U6","LTC4418IUF","TopLayer","ADI-UF-20_V","26.6830mm","19.9830mm","90","Prioritized 2:1 PowerPath™ Controller, 2.5 to 40 V, -40 to 85 degC, 20-Pin QFN, RoHS"
